year,race_name,grade,course,distance,track_condition,finish,horse_name,age,sex,affiliation,running_style,popularity,jockey_continued,prev_grade,prev_finish,course_exp_hanshin,career_g1_wins,good_run_count,elimination_level,is_top3,is_top5
2021,大阪杯,G1,阪神,2000,重,2,モズベッロ,5,牡,栗東,差し,8,1,G2,3,1,0,3,0,1,1
2021,大阪杯,G1,阪神,2000,重,3,コントレイル,4,牡,栗東,差し,1,1,G1,1,0,2,5,0,1,1
2021,大阪杯,G1,阪神,2000,重,4,グランアレグリア,4,牝,栗東,差し,2,1,G1,1,0,2,5,0,0,1
2021,大阪杯,G1,阪神,2000,重,5,サリオス,4,牡,美浦,差し,4,1,G1,2,0,1,2,1,0,1
2021,大阪杯,G1,阪神,2000,重,6,キセキ,7,牡,栗東,逃げ,6,0,G1,6,0,0,0,3,0,0
2021,大阪杯,G1,阪神,2000,重,7,カデナ,7,牡,栗東,先行,11,0,G3,7,1,0,0,3,0,0
2022,大阪杯,G1,阪神,2000,良,1,ポタジェ,5,牡,栗東,差し,5,1,G2,2,1,0,4,0,1,1
2022,大阪杯,G1,阪神,2000,良,2,レイパパレ,5,牝,栗東,先行,3,1,G1,4,1,1,4,0,1,1
2022,大阪杯,G1,阪神,2000,良,3,アリーヴォ,4,牝,栗東,差し,8,1,G2,3,0,0,4,0,1,1
2022,大阪杯,G1,阪神,2000,良,4,ヒシイグアス,6,牡,美浦,差し,4,1,G1,2,0,0,1,2,0,1
2022,大阪杯,G1,阪神,2000,良,5,ジャックドール,4,牡,栗東,逃げ,2,1,G2,1,0,0,5,0,0,1
2022,大阪杯,G1,阪神,2000,良,6,スズカエンポリアム,5,牡,栗東,先行,12,0,G3,3,0,0,3,0,0,0
2022,大阪杯,G1,阪神,2000,良,7,アカイイト,5,牝,栗東,差し,9,1,G1,5,0,1,3,0,0,0
2022,大阪杯,G1,阪神,2000,良,8,シュネルマイスター,4,牡,美浦,差し,1,0,G1,3,0,1,2,1,0,0
2023,大阪杯,G1,阪神,2000,良,1,ジャックドール,5,牡,栗東,逃げ,2,1,G2,2,0,0,4,0,1,1
2023,大阪杯,G1,阪神,2000,良,2,スターズオンアース,4,牝,美浦,差し,1,1,G1,2,0,2,2,1,1,1
2023,大阪杯,G1,阪神,2000,良,3,ダノンザキッド,5,牡,栗東,差し,7,1,G2,3,1,0,3,0,1,1
2023,大阪杯,G1,阪神,2000,良,4,マテンロウレオ,4,牡,栗東,差し,9,1,G2,2,1,0,3,0,0,1
2023,大阪杯,G1,阪神,2000,良,5,マリアエレーナ,5,牝,栗東,差し,10,1,G2,4,1,0,3,0,0,1
2023,大阪杯,G1,阪神,2000,良,6,ノースブリッジ,5,牡,栗東,逃げ,11,0,G2,5,0,0,3,0,0,0
2023,大阪杯,G1,阪神,2000,良,7,ヒシイグアス,7,牡,美浦,差し,5,1,G1,6,0,0,0,3,0,0
2024,大阪杯,G1,阪神,2000,良,1,ベラジオオペラ,4,牡,栗東,先行,3,1,G2,1,0,0,5,0,1,1
2024,大阪杯,G1,阪神,2000,良,2,ローシャムパーク,5,牡,美浦,先行,2,1,G1,2,0,0,2,1,1,1
2024,大阪杯,G1,阪神,2000,良,3,ルージュエヴァイユ,5,牝,美浦,差し,11,1,G2,4,0,0,1,1,1,1
2024,大阪杯,G1,阪神,2000,良,4,ステラヴェローチェ,6,牡,栗東,差し,9,1,G2,5,0,0,2,1,0,1
2024,大阪杯,G1,阪神,2000,良,5,ジオグリフ,5,牡,美浦,差し,8,0,G1,5,0,1,2,1,0,1
2024,大阪杯,G1,阪神,2000,良,6,タスティエーラ,4,牡,美浦,差し,5,0,G1,2,0,1,2,1,0,0
2024,大阪杯,G1,阪神,2000,良,7,プラダリア,5,牡,栗東,先行,6,1,G2,3,1,0,3,0,0,0
2025,大阪杯,G1,阪神,2000,良,1,ベラジオオペラ,5,牡,栗東,先行,2,1,G2,2,1,1,5,0,1,1
2025,大阪杯,G1,阪神,2000,良,2,ロードデルレイ,5,牡,栗東,差し,4,1,G2,1,0,0,4,0,1,1
2025,大阪杯,G1,阪神,2000,良,3,ヨーホーレイク,7,牡,栗東,差し,6,0,G2,3,0,1,0,2,1,1
2025,大阪杯,G1,阪神,2000,良,4,エコロヴァルツ,4,牡,栗東,先行,5,1,G2,2,0,0,5,0,0,1
2025,大阪杯,G1,阪神,2000,良,5,ホウオウビスケッツ,5,牡,美浦,先行,7,1,G2,3,0,0,2,1,0,1
2025,大阪杯,G1,阪神,2000,良,6,ソールオリエンス,5,牡,美浦,差し,1,0,G1,3,0,1,2,1,0,0
2025,大阪杯,G1,阪神,2000,良,7,シュトルーヴェ,6,牡,栗東,先行,10,0,G2,7,0,0,2,1,0,0
